4.25E+00,7.40E-04,3.99E-03,-1.53E-03,4.61E-03,-4.54E-03,2.82E-03,3.61E-03,1.72E-03,-3.41E-03,3.60E-03
4.34E+00,9.08E-04,4.36E-03,-1.33E-03,4.45E-03,-3.81E-03,2.59E-03,3.80E-03,2.09E-03,-3.78E-03,3.62E-03
4.44E+00,6.56E-04,4.63E-03,-1.18E-03,4.28E-03,-3.72E-03,2.47E-03,3.43E-03,2.60E-03,-3.95E-03,3.49E-03
4.53E+00,5.69E-04,5.03E-03,-9.11E-04,4.03E-03,-3.15E-03,2.38E-03,3.23E-03,3.02E-03,-4.22E-03,3.36E-03
4.63E+00,3.75E-04,5.39E-03,-3.49E-04,3.73E-03,-2.61E-03,2.40E-03,2.55E-03,3.25E-03,-4.58E-03,3.35E-03
4.72E+00,-1.24E-04,5.36E-03,-9.78E-05,3.42E-03,-3.00E-03,2.35E-03,2.43E-03,3.58E-03,-4.59E-03,3.15E-03
4.81E+00,-1.92E-04,5.54E-03,4.76E-04,3.05E-03,-2.13E-03,2.44E-03,2.23E-03,3.97E-03,-5.18E-03,3.06E-03
4.91E+00,-7.55E-04,5.38E-03,7.24E-04,2.78E-03,-2.62E-03,2.54E-03,2.24E-03,4.17E-03,-5.17E-03,2.93E-03
5.00E+00,-1.01E-03,5.58E-03,1.62E-03,2.43E-03,-1.53E-03,2.88E-03,1.19E-03,4.15E-03,-5.82E-03,3.13E-03
5.10E+00,-1.42E-03,5.30E-03,1.86E-03,2.42E-03,-1.68E-03,3.02E-03,1.28E-03,4.35E-03,-5.85E-03,2.92E-03
5.19E+00,-1.95E-03,5.12E-03,2.41E-03,2.42E-03,-1.60E-03,3.17E-03,8.70E-04,4.07E-03,-5.89E-03,2.90E-03
5.29E+00,-2.04E-03,4.81E-03,2.98E-03,2.72E-03,-1.06E-03,3.45E-03,5.77E-04,4.24E-03,-6.16E-03,2.70E-03
5.38E+00,-2.85E-03,4.37E-03,3.39E-03,2.77E-03,-1.52E-03,3.56E-03,7.01E-04,3.53E-03,-5.73E-03,2.59E-03
5.48E+00,-2.75E-03,4.09E-03,4.19E-03,3.26E-03,-6.37E-04,3.70E-03,7.60E-05,3.29E-03,-6.01E-03,2.55E-03
5.57E+00,-3.09E-03,3.43E-03,4.28E-03,3.46E-03,-8.83E-04,3.99E-03,6.24E-04,2.99E-03,-5.83E-03,2.12E-03
5.66E+00,-3.30E-03,2.93E-03,4.64E-03,3.72E-03,-8.10E-04,3.98E-03,5.78E-04,2.52E-03,-5.58E-03,1.83E-03
5.76E+00,-3.11E-03,2.43E-03,4.68E-03,4.07E-03,-6.88E-04,4.25E-03,5.98E-04,2.30E-03,-5.59E-03,1.46E-03
5.85E+00,-3.81E-03,1.87E-03,4.87E-03,4.23E-03,-9.78E-04,4.08E-03,9.98E-04,1.60E-03,-4.92E-03,1.25E-03
5.95E+00,-3.30E-03,1.58E-03,4.76E-03,4.68E-03,-9.97E-04,4.39E-03,9.40E-04,1.42E-03,-4.98E-03,8.90E-04
6.04E+00,-3.65E-03,1.02E-03,4.29E-03,4.68E-03,-1.08E-03,4.45E-03,1.54E-03,1.06E-03,-4.45E-03,7.28E-04
6.14E+00,-3.15E-03,1.61E-03,4.35E-03,5.20E-03,-1.18E-03,4.73E-03,1.48E-03,7.66E-04,-4.45E-03,5.29E-04
6.23E+00,-3.09E-03,1.83E-03,4.05E-03,5.47E-03,-1.33E-03,4.64E-03,1.86E-03,4.48E-04,-3.99E-03,5.28E-04
6.32E+00,-2.94E-03,2.09E-03,3.23E-03,5.60E-03,-1.13E-03,4.75E-03,2.38E-03,3.58E-04,-3.72E-03,6.69E-04
6.42E+00,-2.24E-03,2.83E-03,2.99E-03,5.96E-03,-1.24E-03,4.98E-03,2.73E-03,4.36E-04,-3.52E-03,6.77E-04
6.51E+00,-2.10E-03,2.89E-03,2.25E-03,6.16E-03,-7.98E-04,4.77E-03,3.24E-03,6.61E-04,-3.15E-03,8.91E-04
6.61E+00,-1.14E-03,3.67E-03,1.88E-03,6.38E-03,-9.47E-04,5.01E-03,3.41E-03,8.73E-04,-2.90E-03,1.08E-03
6.70E+00,-6.49E-04,3.84E-03,1.43E-03,6.51E-03,-5.22E-04,4.84E-03,3.79E-03,1.17E-03,-2.58E-03,1.24E-03
6.80E+00,2.48E-06,4.34E-03,7.29E-04,6.65E-03,-3.56E-04,4.93E-03,3.93E-03,1.37E-03,-2.53E-03,1.51E-03
6.89E+00,6.31E-04,4.89E-03,2.10E-04,6.59E-03,-3.78E-04,5.07E-03,4.01E-03,1.51E-03,-2.36E-03,1.85E-03
6.99E+00,9.84E-04,4.89E-03,-1.16E-04,6.71E-03,5.32E-05,4.96E-03,4.08E-03,1.73E-03,-2.45E-03,1.83E-03
7.08E+00,1.43E-03,5.58E-03,-8.41E-04,6.49E-03,-3.06E-04,5.26E-03,3.90E-03,1.70E-03,-2.47E-03,2.30E-03
7.17E+00,1.69E-03,5.53E-03,-1.25E-03,6.40E-03,-1.36E-04,5.26E-03,3.81E-03,1.84E-03,-2.76E-03,2.23E-03
7.27E+00,2.03E-03,5.71E-03,-1.87E-03,6.08E-03,-3.37E-04,5.33E-03,3.58E-03,1.84E-03,-3.08E-03,2.48E-03
7.36E+00,2.00E-03,5.81E-03,-2.20E-03,5.69E-03,-6.56E-04,5.46E-03,3.00E-03,1.80E-03,-3.08E-03,2.75E-03
7.46E+00,2.22E-03,5.62E-03,-2.34E-03,5.55E-03,-6.49E-04,5.47E-03,2.50E-03,1.96E-03,-3.49E-03,2.58E-03
